2022-11-17 02:30:21 - INFO - python 01_gnn.py --dataset bca --train_start 0 --train_end 10 --valid_start 10 --valid_end 11 --log bca_gnn --k 100
2022-11-17 02:30:21 - INFO - Namespace(log='bca_gnn', gid=1, dataset='bca', data_path='../../01_process/data_papers/bca/', train_start=0, train_end=10, valid_start=10, valid_end=11, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=1), num_rels=4)
2022-11-17 02:30:26 - INFO - {'mrr': {10: 0.042516931891441345}, 'cor': {}, 'male': {}}
2022-11-17 02:30:36 - INFO - epoch: 24, train: {'mrr': {0: 0.8932191729545593}, 'cor': 0, 'male': 0, 'loss': 1.1599}, valid: {'mrr': {10: 0.4976629316806793}, 'cor': {}, 'male': {}}
2022-11-17 02:30:37 - INFO - epoch: 25, train: {'mrr': {0: 0.8941947817802429}, 'cor': 0, 'male': 0, 'loss': 1.1564}, valid: {'mrr': {10: 0.5146735310554504}, 'cor': {}, 'male': {}}
2022-11-17 02:30:37 - INFO - epoch: 26, train: {'mrr': {0: 0.8953059911727905}, 'cor': 0, 'male': 0, 'loss': 1.1499}, valid: {'mrr': {10: 0.5152016282081604}, 'cor': {}, 'male': {}}
2022-11-17 02:30:38 - INFO - epoch: 27, train: {'mrr': {0: 0.8963629603385925}, 'cor': 0, 'male': 0, 'loss': 1.1431}, valid: {'mrr': {10: 0.5264011025428772}, 'cor': {}, 'male': {}}
2022-11-17 02:30:38 - INFO - epoch: 28, train: {'mrr': {0: 0.8957667350769043}, 'cor': 0, 'male': 0, 'loss': 1.1464}, valid: {'mrr': {10: 0.5262402296066284}, 'cor': {}, 'male': {}}
2022-11-17 02:30:38 - INFO - epoch: 29, train: {'mrr': {0: 0.8992628455162048}, 'cor': 0, 'male': 0, 'loss': 1.1352}, valid: {'mrr': {10: 0.523060142993927}, 'cor': {}, 'male': {}}
2022-11-17 02:30:39 - INFO - epoch: 30, train: {'mrr': {0: 0.8991544246673584}, 'cor': 0, 'male': 0, 'loss': 1.1369}, valid: {'mrr': {10: 0.5404163002967834}, 'cor': {}, 'male': {}}
2022-11-17 02:30:39 - INFO - epoch: 31, train: {'mrr': {0: 0.8990189433097839}, 'cor': 0, 'male': 0, 'loss': 1.1319}, valid: {'mrr': {10: 0.5342751145362854}, 'cor': {}, 'male': {}}
2022-11-17 02:30:40 - INFO - epoch: 32, train: {'mrr': {0: 0.8972843885421753}, 'cor': 0, 'male': 0, 'loss': 1.1304}, valid: {'mrr': {10: 0.5186906456947327}, 'cor': {}, 'male': {}}
2022-11-17 02:30:40 - INFO - epoch: 33, train: {'mrr': {0: 0.8991815447807312}, 'cor': 0, 'male': 0, 'loss': 1.1286}, valid: {'mrr': {10: 0.5428221821784973}, 'cor': {}, 'male': {}}
