2022-11-29 13:33:09 - INFO - python 22_fuse.py --dataset bca --k 100 --train_start 0 --train_end 11 --valid_start 11 --valid_end 12 --gid 0 --log bca_22fuse_gcn --edge_gnn gcn
2022-11-29 13:33:09 - INFO - Namespace(log='bca_22fuse_gcn', gid=0, dataset='bca', data_path='../preprocess/data/bca/', train_start=0, train_end=11, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='gcn', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=0), num_rels=4)
2022-11-29 13:33:09 - INFO - all_g: Data(x=[3406, 128], edge_index=[2, 20479], edge_attr=[20479], num_nodes=3406, ts_infos=[12, 3], raw_nid=[3406], train_val_split=19775)
2022-11-29 13:33:31 - INFO - epoch: 14, valid: {11: {'mrr': 0.3133799433708191, 'hits@1,3,10': [0.20338982343673706, 0.33898305892944336, 0.5169491767883301], 'ndcg,@100': [0.44912413811687385, 0.44912413811687385], 'male': 0.6677, 'rmsle': 0.7838, 'cor': 0.1718}}, train: {'mrr': 0.9053, 'cor': 0.157, 'loss': 1.0269}
2022-11-29 13:33:33 - INFO - epoch: 15, valid: {11: {'mrr': 0.3019484877586365, 'hits@1,3,10': [0.19491524994373322, 0.3305084705352783, 0.508474588394165], 'ndcg,@100': [0.4402008699934346, 0.4402008699934346], 'male': 0.6501, 'rmsle': 0.7768, 'cor': 0.1728}}, train: {'mrr': 0.9122, 'cor': 0.1574, 'loss': 1.0024}
2022-11-29 13:33:33 - INFO - epoch: 16, valid: {11: {'mrr': 0.2961138188838959, 'hits@1,3,10': [0.17796610295772552, 0.3305084705352783, 0.49152541160583496], 'ndcg,@100': [0.4345391033634574, 0.4345391033634574], 'male': 0.6582, 'rmsle': 0.7797, 'cor': 0.1737}}, train: {'mrr': 0.9163, 'cor': 0.1577, 'loss': 1.0023}
2022-11-29 13:33:35 - INFO - epoch: 17, valid: {11: {'mrr': 0.3331609070301056, 'hits@1,3,10': [0.22033898532390594, 0.35593220591545105, 0.5508474707603455], 'ndcg,@100': [0.46664823540975503, 0.46664823540975503], 'male': 0.6661, 'rmsle': 0.7829, 'cor': 0.1742}}, train: {'mrr': 0.9133, 'cor': 0.1585, 'loss': 1.0305}
2022-11-29 13:33:36 - INFO - epoch: 18, valid: {11: {'mrr': 0.3012734353542328, 'hits@1,3,10': [0.18644067645072937, 0.32203391194343567, 0.5593220591545105], 'ndcg,@100': [0.4389899687016623, 0.4389899687016623], 'male': 0.659, 'rmsle': 0.7798, 'cor': 0.1759}}, train: {'mrr': 0.9147, 'cor': 0.1629, 'loss': 1.0073}
2022-11-29 13:33:37 - INFO - epoch: 19, valid: {11: {'mrr': 0.26848727464675903, 'hits@1,3,10': [0.1525423675775528, 0.2881355881690979, 0.5254237055778503], 'ndcg,@100': [0.41124762676700743, 0.4099775374311435], 'male': 0.6574, 'rmsle': 0.779, 'cor': 0.1751}}, train: {'mrr': 0.9104, 'cor': 0.1642, 'loss': 0.984}
2022-11-29 13:33:38 - INFO - epoch: 20, valid: {11: {'mrr': 0.26791441440582275, 'hits@1,3,10': [0.1525423675775528, 0.2881355881690979, 0.5169491767883301], 'ndcg,@100': [0.41206595040090876, 0.4107958610650448], 'male': 0.6621, 'rmsle': 0.7809, 'cor': 0.1763}}, train: {'mrr': 0.9095, 'cor': 0.1645, 'loss': 0.9866}
2022-11-29 13:33:38 - INFO - epoch: 21, valid: {11: {'mrr': 0.2922149896621704, 'hits@1,3,10': [0.16949152946472168, 0.32203391194343567, 0.5593220591545105], 'ndcg,@100': [0.43437346471565236, 0.43437346471565236], 'male': 0.6613, 'rmsle': 0.7804, 'cor': 0.175}}, train: {'mrr': 0.9122, 'cor': 0.1668, 'loss': 1.0045}
2022-11-29 13:33:39 - INFO - epoch: 22, valid: {11: {'mrr': 0.32152941823005676, 'hits@1,3,10': [0.19491524994373322, 0.33898305892944336, 0.5932203531265259], 'ndcg,@100': [0.4625977028476736, 0.4625977028476736], 'male': 0.6594, 'rmsle': 0.7795, 'cor': 0.177}}, train: {'mrr': 0.918, 'cor': 0.1696, 'loss': 0.9803}
2022-11-29 13:33:40 - INFO - epoch: 23, valid: {11: {'mrr': 0.3024406135082245, 'hits@1,3,10': [0.18644067645072937, 0.31355932354927063, 0.5762711763381958], 'ndcg,@100': [0.44559858648049094, 0.44432849714462697], 'male': 0.6615, 'rmsle': 0.7803, 'cor': 0.1761}}, train: {'mrr': 0.9215, 'cor': 0.1706, 'loss': 0.9453}
