2022-11-17 03:59:52 - INFO - python seal_hints.py --dataset rdb --train_start 0 --train_end 10 --valid_start 10 --valid_end 11 --log rdb_100k --k 100 --embed_dim 86
2022-11-17 03:59:52 - INFO - Namespace(log='rdb_100k', gid=3, dataset='rdb', data_path='../../01_process/data_papers/rdb/', train_start=0, train_end=10, valid_start=10, valid_end=11, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=86, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=3), num_rels=4)
2022-11-17 04:00:02 - INFO - {'mrr': {10: 0.041286204010248184}, 'cor': {}, 'male': {}}
2022-11-17 04:01:24 - INFO - epoch: 16, train: {'mrr': {5: 0.9994067549705505, 6: 0.999302089214325, 7: 0.9991973638534546, 8: 0.9989181756973267, 9: 0.999162495136261}, 'cor': 0, 'male': 0, 'loss': 16.7931}, valid: {'mrr': {10: 0.1166391521692276}, 'cor': {}, 'male': {}}
2022-11-17 04:01:29 - INFO - epoch: 17, train: {'mrr': {5: 0.9983947277069092, 6: 0.9971733689308167, 7: 0.9949748516082764, 8: 0.9967197179794312, 9: 0.9969989061355591}, 'cor': 0, 'male': 0, 'loss': 15.2811}, valid: {'mrr': {10: 0.10149496793746948}, 'cor': {}, 'male': {}}
2022-11-17 04:01:33 - INFO - epoch: 18, train: {'mrr': {5: 0.9938232898712158, 6: 0.9926018714904785, 7: 0.9953587651252747, 8: 0.9972431659698486, 9: 0.9983598589897156}, 'cor': 0, 'male': 0, 'loss': 14.8811}, valid: {'mrr': {10: 0.11255722492933273}, 'cor': {}, 'male': {}}
2022-11-17 04:01:39 - INFO - epoch: 19, train: {'mrr': {5: 0.9990577697753906, 6: 0.9988833069801331, 7: 0.9994416236877441, 8: 0.9992671608924866, 9: 0.9994765520095825}, 'cor': 0, 'male': 0, 'loss': 16.2014}, valid: {'mrr': {10: 0.11887131631374359}, 'cor': {}, 'male': {}}
2022-11-17 04:01:44 - INFO - epoch: 20, train: {'mrr': {5: 0.9967545866966248, 6: 0.9927065968513489, 7: 0.988519012928009, 8: 0.9757468104362488, 9: 0.9803531765937805}, 'cor': 0, 'male': 0, 'loss': 15.502}, valid: {'mrr': {10: 0.08543141186237335}, 'cor': {}, 'male': {}}
2022-11-17 04:01:49 - INFO - epoch: 21, train: {'mrr': {5: 0.9899148344993591, 6: 0.99152010679245, 7: 0.9910664558410645, 8: 0.9917992949485779, 9: 0.9914153814315796}, 'cor': 0, 'male': 0, 'loss': 15.5706}, valid: {'mrr': {10: 0.10517297685146332}, 'cor': {}, 'male': {}}
2022-11-17 04:01:55 - INFO - epoch: 22, train: {'mrr': {5: 0.9941024780273438, 6: 0.9895309805870056, 7: 0.9799692630767822, 8: 0.9783291220664978, 9: 0.9798645973205566}, 'cor': 0, 'male': 0, 'loss': 15.6316}, valid: {'mrr': {10: 0.08334676921367645}, 'cor': {}, 'male': {}}
2022-11-17 04:02:00 - INFO - epoch: 23, train: {'mrr': {5: 0.980806827545166, 6: 0.9610901474952698, 7: 0.9707565903663635, 8: 0.9865996837615967, 9: 0.9933347105979919}, 'cor': 0, 'male': 0, 'loss': 17.0625}, valid: {'mrr': {10: 0.12637755274772644}, 'cor': {}, 'male': {}}
2022-11-17 04:02:06 - INFO - epoch: 24, train: {'mrr': {5: 0.9973478317260742, 6: 0.9983947277069092, 7: 0.998115599155426, 8: 0.998953104019165, 9: 0.9988484382629395}, 'cor': 0, 'male': 0, 'loss': 15.8089}, valid: {'mrr': {10: 0.11545323580503464}, 'cor': {}, 'male': {}}
2022-11-17 04:02:11 - INFO - epoch: 25, train: {'mrr': {5: 0.9983249306678772, 6: 0.9969291090965271, 7: 0.9970337748527527, 8: 0.9983598589897156, 9: 0.9981504678726196}, 'cor': 0, 'male': 0, 'loss': 14.9594}, valid: {'mrr': {10: 0.11155614256858826}, 'cor': {}, 'male': {}}
2022-11-17 04:02:17 - INFO - epoch: 26, train: {'mrr': {5: 0.9990577697753906, 6: 0.9986390471458435, 7: 0.9984994530677795, 8: 0.9981504678726196, 9: 0.9986390471458435}, 'cor': 0, 'male': 0, 'loss': 15.1243}, valid: {'mrr': {10: 0.12153080105781555}, 'cor': {}, 'male': {}}
2022-11-17 04:02:22 - INFO - epoch: 27, train: {'mrr': {5: 0.9986390471458435, 6: 0.9978712797164917, 7: 0.9958124160766602, 8: 0.9934045076370239, 9: 0.9912758469581604}, 'cor': 0, 'male': 0, 'loss': 14.6189}, valid: {'mrr': {10: 0.10444057732820511}, 'cor': {}, 'male': {}}
2022-11-17 04:02:27 - INFO - epoch: 28, train: {'mrr': {5: 0.9916597008705139, 6: 0.9891121983528137, 7: 0.9888330698013306, 8: 0.9939279556274414, 9: 0.9960566759109497}, 'cor': 0, 'male': 0, 'loss': 14.5471}, valid: {'mrr': {10: 0.10618683695793152}, 'cor': {}, 'male': {}}
2022-11-17 04:02:31 - INFO - epoch: 29, train: {'mrr': {5: 0.9982900619506836, 6: 0.9980108737945557, 7: 0.9977666139602661, 8: 0.9983598589897156, 9: 0.9982202649116516}, 'cor': 0, 'male': 0, 'loss': 15.3579}, valid: {'mrr': {10: 0.11606084555387497}, 'cor': {}, 'male': {}}
2022-11-17 04:02:36 - INFO - epoch: 30, train: {'mrr': {5: 0.9992671608924866, 6: 0.999022901058197, 7: 0.9976270198822021, 8: 0.9976968169212341, 9: 0.9971035718917847}, 'cor': 0, 'male': 0, 'loss': 14.8981}, valid: {'mrr': {10: 0.11018574237823486}, 'cor': {}, 'male': {}}
2022-11-17 04:02:41 - INFO - epoch: 31, train: {'mrr': {5: 0.998115599155426, 6: 0.9977666139602661, 7: 0.9966847896575928, 8: 0.9973827600479126, 9: 0.9964405298233032}, 'cor': 0, 'male': 0, 'loss': 14.0903}, valid: {'mrr': {10: 0.11357156187295914}, 'cor': {}, 'male': {}}
2022-11-17 04:02:46 - INFO - epoch: 32, train: {'mrr': {5: 0.9983249306678772, 6: 0.9965801239013672, 7: 0.9957774877548218, 8: 0.9936488270759583, 9: 0.9951144456863403}, 'cor': 0, 'male': 0, 'loss': 13.4319}, valid: {'mrr': {10: 0.09675329923629761}, 'cor': {}, 'male': {}}
2022-11-17 04:02:51 - INFO - epoch: 33, train: {'mrr': {5: 0.9977666139602661, 6: 0.9970337748527527, 7: 0.9956030249595642, 8: 0.9984296560287476, 9: 0.9997208118438721}, 'cor': 0, 'male': 0, 'loss': 14.8091}, valid: {'mrr': {10: 0.1192287802696228}, 'cor': {}, 'male': {}}
