2022-11-17 02:29:43 - INFO - python seal_hints.py --dataset bca --train_start 0 --train_end 10 --valid_start 10 --valid_end 11 --log bca_100k --k 100
2022-11-17 02:29:43 - INFO - Namespace(log='bca_100k', gid=3, dataset='bca', data_path='../../01_process/data_papers/bca/', train_start=0, train_end=10, valid_start=10, valid_end=11, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=3), num_rels=4)
2022-11-17 02:29:51 - INFO - {'mrr': {10: 0.032685961574316025}, 'cor': {}, 'male': {}}
2022-11-17 02:30:03 - INFO - epoch: 17, train: {'mrr': {5: 0.9172722101211548, 6: 0.9054251909255981, 7: 0.8942815661430359, 8: 0.8907356858253479, 9: 0.8715406060218811}, 'cor': 0, 'male': 0, 'loss': 1.1339}, valid: {'mrr': {10: 0.1543988734483719}, 'cor': {}, 'male': {}}
2022-11-17 02:30:04 - INFO - epoch: 18, train: {'mrr': {5: 0.932923436164856, 6: 0.9178885817527771, 7: 0.8887553811073303, 8: 0.8978201746940613, 9: 0.8886070251464844}, 'cor': 0, 'male': 0, 'loss': 1.0645}, valid: {'mrr': {10: 0.23273690044879913}, 'cor': {}, 'male': {}}
2022-11-17 02:30:04 - INFO - epoch: 19, train: {'mrr': {5: 0.9217439889907837, 6: 0.9276637434959412, 7: 0.9074963927268982, 8: 0.908991813659668, 9: 0.8858394622802734}, 'cor': 0, 'male': 0, 'loss': 1.1084}, valid: {'mrr': {10: 0.2667577862739563}, 'cor': {}, 'male': {}}
2022-11-17 02:30:05 - INFO - epoch: 20, train: {'mrr': {5: 0.932923436164856, 6: 0.9169110655784607, 7: 0.9084574580192566, 8: 0.8929155468940735, 9: 0.8793818950653076}, 'cor': 0, 'male': 0, 'loss': 1.1789}, valid: {'mrr': {10: 0.29352867603302}, 'cor': {}, 'male': {}}
2022-11-17 02:30:05 - INFO - epoch: 21, train: {'mrr': {5: 0.9211850166320801, 6: 0.9088465571403503, 7: 0.8969245553016663, 8: 0.9125340580940247, 9: 0.8916051387786865}, 'cor': 0, 'male': 0, 'loss': 1.089}, valid: {'mrr': {10: 0.31728777289390564}, 'cor': {}, 'male': {}}
2022-11-17 02:30:06 - INFO - epoch: 22, train: {'mrr': {5: 0.9262157678604126, 6: 0.9291300177574158, 7: 0.9154253005981445, 8: 0.9174386858940125, 9: 0.883994460105896}, 'cor': 0, 'male': 0, 'loss': 1.0497}, valid: {'mrr': {10: 0.32239603996276855}, 'cor': {}, 'male': {}}
2022-11-17 02:30:07 - INFO - epoch: 23, train: {'mrr': {5: 0.9373952150344849, 6: 0.9205767512321472, 7: 0.911100447177887, 8: 0.9106267094612122, 9: 0.8867619633674622}, 'cor': 0, 'male': 0, 'loss': 1.0461}, valid: {'mrr': {10: 0.45049646496772766}, 'cor': {}, 'male': {}}
2022-11-17 02:30:07 - INFO - epoch: 24, train: {'mrr': {5: 0.9323644638061523, 6: 0.9230205416679382, 7: 0.9243152141571045, 8: 0.9087193608283997, 9: 0.8959870934486389}, 'cor': 0, 'male': 0, 'loss': 1.0126}, valid: {'mrr': {10: 0.34003064036369324}, 'cor': {}, 'male': {}}
2022-11-17 02:30:08 - INFO - epoch: 25, train: {'mrr': {5: 0.9287311434745789, 6: 0.929618775844574, 7: 0.9115809798240662, 8: 0.9070844650268555, 9: 0.9086715579032898}, 'cor': 0, 'male': 0, 'loss': 1.0079}, valid: {'mrr': {10: 0.283194363117218}, 'cor': {}, 'male': {}}
2022-11-17 02:30:09 - INFO - epoch: 26, train: {'mrr': {5: 0.9365567564964294, 6: 0.9337732195854187, 7: 0.9245554804801941, 8: 0.9106267094612122, 9: 0.910516619682312}, 'cor': 0, 'male': 0, 'loss': 1.0022}, valid: {'mrr': {10: 0.2677082419395447}, 'cor': {}, 'male': {}}
2022-11-17 02:30:09 - INFO - epoch: 27, train: {'mrr': {5: 0.9452207684516907, 6: 0.9376832842826843, 7: 0.9259971380233765, 8: 0.9188010692596436, 9: 0.9086715579032898}, 'cor': 0, 'male': 0, 'loss': 1.0237}, valid: {'mrr': {10: 0.42736032605171204}, 'cor': {}, 'male': {}}
2022-11-17 02:30:10 - INFO - epoch: 28, train: {'mrr': {5: 0.943264365196228, 6: 0.9406158328056335, 7: 0.9255166053771973, 8: 0.9212533831596375, 9: 0.9070571660995483}, 'cor': 0, 'male': 0, 'loss': 1.0077}, valid: {'mrr': {10: 0.3858430087566376}, 'cor': {}, 'male': {}}
2022-11-17 02:30:11 - INFO - epoch: 29, train: {'mrr': {5: 0.9382336735725403, 6: 0.9479472041130066, 7: 0.9291206002235413, 8: 0.929972767829895, 9: 0.9082103371620178}, 'cor': 0, 'male': 0, 'loss': 0.9469}, valid: {'mrr': {10: 0.4503058195114136}, 'cor': {}, 'male': {}}
2022-11-17 02:30:11 - INFO - epoch: 30, train: {'mrr': {5: 0.9471771717071533, 6: 0.9508797526359558, 7: 0.9320038557052612, 8: 0.9318801164627075, 9: 0.9031365513801575}, 'cor': 0, 'male': 0, 'loss': 0.9295}, valid: {'mrr': {10: 0.33745843172073364}, 'cor': {}, 'male': {}}
2022-11-17 02:30:12 - INFO - epoch: 31, train: {'mrr': {5: 0.9435438513755798, 6: 0.9486803412437439, 7: 0.9346467852592468, 8: 0.9329700469970703, 9: 0.9204335808753967}, 'cor': 0, 'male': 0, 'loss': 0.9757}, valid: {'mrr': {10: 0.3499235212802887}, 'cor': {}, 'male': {}}
2022-11-17 02:30:12 - INFO - epoch: 32, train: {'mrr': {5: 0.9510899782180786, 6: 0.9474584460258484, 7: 0.9283998012542725, 8: 0.9286103248596191, 9: 0.9125922322273254}, 'cor': 0, 'male': 0, 'loss': 1.0407}, valid: {'mrr': {10: 0.3948538303375244}, 'cor': {}, 'male': {}}
2022-11-17 02:30:13 - INFO - epoch: 33, train: {'mrr': {5: 0.9499720335006714, 6: 0.9452590346336365, 7: 0.940413236618042, 8: 0.93378746509552, 9: 0.9208948612213135}, 'cor': 0, 'male': 0, 'loss': 0.986}, valid: {'mrr': {10: 0.6010404229164124}, 'cor': {}, 'male': {}}
2022-11-17 02:30:14 - INFO - epoch: 34, train: {'mrr': {5: 0.9468976855278015, 6: 0.9462365508079529, 7: 0.9346467852592468, 8: 0.9269754886627197, 9: 0.9148985147476196}, 'cor': 0, 'male': 0, 'loss': 0.9314}, valid: {'mrr': {10: 0.3771290183067322}, 'cor': {}, 'male': {}}
2022-11-17 02:30:14 - INFO - epoch: 35, train: {'mrr': {5: 0.9499720335006714, 6: 0.9511241316795349, 7: 0.9406535029411316, 8: 0.9332424998283386, 9: 0.9243542551994324}, 'cor': 0, 'male': 0, 'loss': 0.9147}, valid: {'mrr': {10: 0.4408043622970581}, 'cor': {}, 'male': {}}
