2022-11-22 15:36:12 - INFO - python 01_gnn.py --dataset aps --k 1000 --log aps_sage
2022-11-22 15:36:12 - INFO - Namespace(log='aps_sage', gid=2, dataset='aps', data_path='../preprocess/data/aps/', train_start=2000, train_end=2011, valid_start=2011, valid_end=2014, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=1000, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=2), num_rels=4)
2022-11-22 15:46:21 - INFO - epoch: 0, valid: {2011: {'mrr': 0.08911959826946259, 'hits@1,3,10': [0.02469540573656559, 0.0766540989279747, 0.21548379957675934], 'ndcg,@100': [0.2430270956969324, 0.21190687758236948]}, 2012: {'mrr': 0.0837663933634758, 'hits@1,3,10': [0.0230221189558506, 0.06624840199947357, 0.20145682990550995], 'ndcg,@100': [0.23760989187007298, 0.2054810932675141]}, 2013: {'mrr': 0.07479153573513031, 'hits@1,3,10': [0.019695864990353584, 0.059087593108415604, 0.17226867377758026], 'ndcg,@100': [0.22733354785610052, 0.19254292142543675]}}, train: {'mrr': 0.9575, 'cor': 0, 'loss': 0.7189}
2022-11-22 15:56:32 - INFO - epoch: 1, valid: {2011: {'mrr': 0.15704862773418427, 'hits@1,3,10': [0.06201169267296791, 0.15669561922550201, 0.36256352066993713], 'ndcg,@100': [0.3106381966885306, 0.2921090933595211]}, 2012: {'mrr': 0.14301759004592896, 'hits@1,3,10': [0.052796680480241776, 0.13908974826335907, 0.3367184102535248], 'ndcg,@100': [0.2977858741590304, 0.27850544138069355]}, 2013: {'mrr': 0.11648821830749512, 'hits@1,3,10': [0.03810111805796623, 0.1043151319026947, 0.28286853432655334], 'ndcg,@100': [0.2724773932052115, 0.25089829731176205]}}, train: {'mrr': 0.9885, 'cor': 0, 'loss': 0.418}
2022-11-22 16:06:47 - INFO - epoch: 2, valid: {2011: {'mrr': 0.1818736046552658, 'hits@1,3,10': [0.07692728191614151, 0.18980495631694794, 0.4156695604324341], 'ndcg,@100': [0.3341615332977458, 0.3187202695982366]}, 2012: {'mrr': 0.16336137056350708, 'hits@1,3,10': [0.06364312767982483, 0.16641855239868164, 0.38228413462638855], 'ndcg,@100': [0.31767707122342226, 0.30174556912432987]}, 2013: {'mrr': 0.1281275451183319, 'hits@1,3,10': [0.04371247440576553, 0.11823129653930664, 0.306099534034729], 'ndcg,@100': [0.2845676449058954, 0.2655272910252761]}}, train: {'mrr': 0.9919, 'cor': 0, 'loss': 0.3457}
2022-11-22 16:17:50 - INFO - epoch: 3, valid: {2011: {'mrr': 0.1953384429216385, 'hits@1,3,10': [0.08299186080694199, 0.20706987380981445, 0.44817790389060974], 'ndcg,@100': [0.3474724885447622, 0.3340344146757605]}, 2012: {'mrr': 0.17980684340000153, 'hits@1,3,10': [0.0738515555858612, 0.18555933237075806, 0.41774776577949524], 'ndcg,@100': [0.3333992327193543, 0.3193236306093081]}, 2013: {'mrr': 0.14435967803001404, 'hits@1,3,10': [0.05179283022880554, 0.13792715966701508, 0.34930700063705444], 'ndcg,@100': [0.30028339751684346, 0.2826091572792862]}}, train: {'mrr': 0.9935, 'cor': 0, 'loss': 0.3078}
2022-11-22 16:28:09 - INFO - epoch: 4, valid: {2011: {'mrr': 0.20076961815357208, 'hits@1,3,10': [0.08457630127668381, 0.21034802496433258, 0.46762827038764954], 'ndcg,@100': [0.35344246211389757, 0.34079166476363415]}, 2012: {'mrr': 0.18837246298789978, 'hits@1,3,10': [0.07597830891609192, 0.1989578902721405, 0.4422054588794708], 'ndcg,@100': [0.34222698445905836, 0.32949081957309034]}, 2013: {'mrr': 0.1541183739900589, 'hits@1,3,10': [0.053812917321920395, 0.15223611891269684, 0.3788788616657257], 'ndcg,@100': [0.3101324637574178, 0.2933358961754245]}}, train: {'mrr': 0.9946, 'cor': 0, 'loss': 0.2768}
2022-11-22 16:39:07 - INFO - epoch: 5, valid: {2011: {'mrr': 0.21197672188282013, 'hits@1,3,10': [0.09113260358572006, 0.22728514671325684, 0.4888269603252411], 'ndcg,@100': [0.36358739540344165, 0.3513679667473363]}, 2012: {'mrr': 0.20251038670539856, 'hits@1,3,10': [0.08602721989154816, 0.21645045280456543, 0.47038495540618896], 'ndcg,@100': [0.35484210767183305, 0.3423198416416957]}, 2013: {'mrr': 0.16714374721050262, 'hits@1,3,10': [0.06144436448812485, 0.17170754075050354, 0.4072723090648651], 'ndcg,@100': [0.32201041382334233, 0.30503537490621135]}}, train: {'mrr': 0.9954, 'cor': 0, 'loss': 0.2549}
2022-11-22 16:49:45 - INFO - epoch: 6, valid: {2011: {'mrr': 0.22498029470443726, 'hits@1,3,10': [0.10331639647483826, 0.24378517270088196, 0.5022673606872559], 'ndcg,@100': [0.3745068818033509, 0.36265263611858456]}, 2012: {'mrr': 0.21562667191028595, 'hits@1,3,10': [0.09666099399328232, 0.23282645642757416, 0.48793065547943115], 'ndcg,@100': [0.3661991918959386, 0.3541701645314764]}, 2013: {'mrr': 0.1811816543340683, 'hits@1,3,10': [0.06913192570209503, 0.1903933584690094, 0.43628302216529846], 'ndcg,@100': [0.33478780100874417, 0.31858403534790175]}}, train: {'mrr': 0.9959, 'cor': 0, 'loss': 0.2381}
2022-11-22 17:00:52 - INFO - epoch: 7, valid: {2011: {'mrr': 0.22476154565811157, 'hits@1,3,10': [0.10096705704927444, 0.24597060680389404, 0.5058187246322632], 'ndcg,@100': [0.37470917816532334, 0.36295616596148855]}, 2012: {'mrr': 0.21436366438865662, 'hits@1,3,10': [0.09363037347793579, 0.23149722814559937, 0.4894194006919861], 'ndcg,@100': [0.3656287982149828, 0.3539023115440191]}, 2013: {'mrr': 0.18099772930145264, 'hits@1,3,10': [0.06722406297922134, 0.19078615307807922, 0.43824702501296997], 'ndcg,@100': [0.33497316541756667, 0.3187967072125983]}}, train: {'mrr': 0.9962, 'cor': 0, 'loss': 0.2258}
2022-11-22 17:11:43 - INFO - epoch: 8, valid: {2011: {'mrr': 0.24423979222774506, 'hits@1,3,10': [0.11550018936395645, 0.2715948224067688, 0.5307872891426086], 'ndcg,@100': [0.39150099888349843, 0.38040011916253547]}, 2012: {'mrr': 0.23471766710281372, 'hits@1,3,10': [0.10947468876838684, 0.25786900520324707, 0.5188217759132385], 'ndcg,@100': [0.38322769447998395, 0.3720640334712668]}, 2013: {'mrr': 0.2048226147890091, 'hits@1,3,10': [0.08663935959339142, 0.22260254621505737, 0.4721395969390869], 'ndcg,@100': [0.3552990613217841, 0.33953224007599503]}}, train: {'mrr': 0.9965, 'cor': 0, 'loss': 0.2178}
2022-11-22 17:22:17 - INFO - epoch: 9, valid: {2011: {'mrr': 0.24676033854484558, 'hits@1,3,10': [0.11735781282186508, 0.27503687143325806, 0.5396382808685303], 'ndcg,@100': [0.3938624440514621, 0.38276297486691413]}, 2012: {'mrr': 0.23567605018615723, 'hits@1,3,10': [0.10782645642757416, 0.2614313066005707, 0.5249893665313721], 'ndcg,@100': [0.38445904535752623, 0.3732241955491469]}, 2013: {'mrr': 0.20375949144363403, 'hits@1,3,10': [0.0845070406794548, 0.22097525000572205, 0.4732057750225067], 'ndcg,@100': [0.3547186071596941, 0.3389012894730063]}}, train: {'mrr': 0.9967, 'cor': 0, 'loss': 0.2088}
2022-11-22 17:33:22 - INFO - epoch: 10, valid: {2011: {'mrr': 0.25075018405914307, 'hits@1,3,10': [0.11987105756998062, 0.28088292479515076, 0.5437906384468079], 'ndcg,@100': [0.39749463227313586, 0.3865731502708368]}, 2012: {'mrr': 0.23732608556747437, 'hits@1,3,10': [0.10724160075187683, 0.2647809386253357, 0.5284985303878784], 'ndcg,@100': [0.38614250984265525, 0.37504779417809136]}, 2013: {'mrr': 0.20625117421150208, 'hits@1,3,10': [0.08506818115711212, 0.22557656466960907, 0.4817350208759308], 'ndcg,@100': [0.35717524283148716, 0.34156231224052996]}}, train: {'mrr': 0.9969, 'cor': 0, 'loss': 0.2013}
