2022-12-01 08:52:21 - INFO - python 01_gnn.py --dataset ogb --k 1000 --log ogb_sage
2022-12-01 08:52:21 - INFO - Namespace(log='ogb_sage', gid=1, dataset='ogb', data_path='../preprocess/data/ogb/', train_start=2000, train_end=2011, valid_start=2011, valid_end=2012, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=1000, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', edge_gnn='sage', device=device(type='cuda', index=1), num_rels=4)
2022-12-01 08:52:28 - INFO - all_g: Data(x=[1496742, 128], edge_index=[2, 10074486], edge_attr=[10074486], num_nodes=1496742, ts_infos=[12, 3], raw_nid=[1496742], train_val_split=8864377)
2022-12-01 09:13:58 - INFO - epoch: 0, valid: {2011: {'mrr': 0.15459106862545013, 'hits@1,3,10': [0.06855987757444382, 0.1615966409444809, 0.3402969539165497], 'ndcg,@100': [0.29877032522526276, 0.26584484184811874]}}, train: {'mrr': 0.9815674424171448, 'cor': 0, 'loss': 0.4537}
2022-12-01 09:30:49 - INFO - epoch: 1, valid: {2011: {'mrr': 0.21420831978321075, 'hits@1,3,10': [0.11133578419685364, 0.23933953046798706, 0.43712085485458374], 'ndcg,@100': [0.3517996489889054, 0.3219331888071144]}}, train: {'mrr': 0.994872510433197, 'cor': 0, 'loss': 0.2662}
2022-12-01 09:51:55 - INFO - epoch: 2, valid: {2011: {'mrr': 0.24834442138671875, 'hits@1,3,10': [0.13690748810768127, 0.2837241590023041, 0.48786211013793945], 'ndcg,@100': [0.38195209923272355, 0.3541568104317432]}}, train: {'mrr': 0.9963464736938477, 'cor': 0, 'loss': 0.2237}
2022-12-01 10:08:57 - INFO - epoch: 3, valid: {2011: {'mrr': 0.28645896911621094, 'hits@1,3,10': [0.1717962771654129, 0.3314937353134155, 0.52678382396698], 'ndcg,@100': [0.4137150553569851, 0.38615269572174976]}}, train: {'mrr': 0.9971755743026733, 'cor': 0, 'loss': 0.1954}
2022-12-01 10:25:59 - INFO - epoch: 4, valid: {2011: {'mrr': 0.3087073564529419, 'hits@1,3,10': [0.19272060692310333, 0.35833901166915894, 0.5492163300514221], 'ndcg,@100': [0.4322064077836184, 0.40537876918529325]}}, train: {'mrr': 0.997641921043396, 'cor': 0, 'loss': 0.1778}
2022-12-01 10:43:00 - INFO - epoch: 5, valid: {2011: {'mrr': 0.31745830178260803, 'hits@1,3,10': [0.20217175781726837, 0.3689296543598175, 0.5545675158500671], 'ndcg,@100': [0.43874910335356104, 0.4113212116534826]}}, train: {'mrr': 0.9979391694068909, 'cor': 0, 'loss': 0.1652}
2022-12-01 11:01:54 - INFO - epoch: 6, valid: {2011: {'mrr': 0.3321745693683624, 'hits@1,3,10': [0.21608035266399384, 0.3864913582801819, 0.5695038437843323], 'ndcg,@100': [0.451155415402463, 0.4240306226517661]}}, train: {'mrr': 0.9981827139854431, 'cor': 0, 'loss': 0.1546}
2022-12-01 11:33:52 - INFO - epoch: 7, valid: {2011: {'mrr': 0.3479861915111542, 'hits@1,3,10': [0.23376493155956268, 0.4048238694667816, 0.5768994688987732], 'ndcg,@100': [0.4636613555462436, 0.43626006279195456]}}, train: {'mrr': 0.9983740448951721, 'cor': 0, 'loss': 0.1447}
2022-12-01 11:50:55 - INFO - epoch: 8, valid: {2011: {'mrr': 0.35093823075294495, 'hits@1,3,10': [0.23821121454238892, 0.40712523460388184, 0.5777484774589539], 'ndcg,@100': [0.46522481443561864, 0.4369618610256626]}}, train: {'mrr': 0.9985319972038269, 'cor': 0, 'loss': 0.1372}
2022-12-01 12:11:43 - INFO - epoch: 9, valid: {2011: {'mrr': 0.3589184582233429, 'hits@1,3,10': [0.2474389225244522, 0.41589489579200745, 0.5816920399665833], 'ndcg,@100': [0.47165815065639527, 0.44353082037449754]}}, train: {'mrr': 0.9986584782600403, 'cor': 0, 'loss': 0.1307}
2022-12-01 12:40:05 - INFO - epoch: 10, valid: {2011: {'mrr': 0.3593621850013733, 'hits@1,3,10': [0.24741657078266144, 0.417034387588501, 0.5808876752853394], 'ndcg,@100': [0.47179212580086294, 0.4433819806669158]}}, train: {'mrr': 0.9987751841545105, 'cor': 0, 'loss': 0.1251}
2022-12-01 12:57:15 - INFO - epoch: 11, valid: {2011: {'mrr': 0.36253947019577026, 'hits@1,3,10': [0.25437647104263306, 0.41894474625587463, 0.5753577947616577], 'ndcg,@100': [0.47323629728236666, 0.4438875461669183]}}, train: {'mrr': 0.9988569021224976, 'cor': 0, 'loss': 0.1202}
2022-12-01 13:18:14 - INFO - epoch: 12, valid: {2011: {'mrr': 0.36079907417297363, 'hits@1,3,10': [0.2514718472957611, 0.41788342595100403, 0.5762403011322021], 'ndcg,@100': [0.4719586833844764, 0.44280821360975964]}}, train: {'mrr': 0.9989166855812073, 'cor': 0, 'loss': 0.1164}
2022-12-01 13:35:08 - INFO - epoch: 13, valid: {2011: {'mrr': 0.36308351159095764, 'hits@1,3,10': [0.2549797296524048, 0.4203970432281494, 0.575692892074585], 'ndcg,@100': [0.47333891374483233, 0.4437201450365185]}}, train: {'mrr': 0.9989568591117859, 'cor': 0, 'loss': 0.1131}
2022-12-01 13:52:07 - INFO - epoch: 14, valid: {2011: {'mrr': 0.36408525705337524, 'hits@1,3,10': [0.25690123438835144, 0.4200395345687866, 0.5741065740585327], 'ndcg,@100': [0.4737251250364789, 0.4439497534459461]}}, train: {'mrr': 0.9990066885948181, 'cor': 0, 'loss': 0.1099}
