2022-11-29 01:37:54 - INFO - python 22_fuse.py --dataset rdb --k 100 --train_start 0 --train_end 10 --valid_start 11 --valid_end 12 --log rdb_mbsl --gid 0 --embed_dim 300
2022-11-29 01:37:54 - INFO - Namespace(log='rdb_mbsl', gid=0, dataset='rdb', data_path='../preprocess/data/rdb/', train_start=0, train_end=10, valid_start=11, valid_end=12, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=100, epochs=700, bs=4096, lr=0.0005, embed_dim=300, hidden_channels=128, hidden_dims=[20, 10, 20, 8], num_layers=3, dropout=0, edge_gnn='sage', node_gnn='sage', node_predictor='cites', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', device=device(type='cuda', index=0), num_rels=4)
2022-11-29 01:37:55 - INFO - all_g: Data(x=[25024, 300], edge_index=[2, 151156], edge_attr=[151156], num_nodes=25024, ts_infos=[11, 3], raw_nid=[25024], train_val_split=143281)
2022-11-29 01:39:21 - INFO - epoch: 14, valid: {11: {'mrr': 0.5386561155319214, 'hits@1,3,10': [0.4140767753124237, 0.6106032729148865, 0.7678244709968567], 'ndcg,@100': [0.6345873473649549, 0.6345873473649549], 'male': 0.5768, 'rmsle': 0.805, 'cor': 0.7905}}, train: {'mrr': 0.9878, 'cor': 0.8522, 'loss': 0.2504}
2022-11-29 01:39:26 - INFO - epoch: 15, valid: {11: {'mrr': 0.540488064289093, 'hits@1,3,10': [0.4149908721446991, 0.6170018315315247, 0.7760511636734009], 'ndcg,@100': [0.6362174932212867, 0.6360805000388079], 'male': 0.5729, 'rmsle': 0.7981, 'cor': 0.7942}}, train: {'mrr': 0.989, 'cor': 0.8561, 'loss': 0.2448}
2022-11-29 01:39:32 - INFO - epoch: 16, valid: {11: {'mrr': 0.5478732585906982, 'hits@1,3,10': [0.4213894009590149, 0.6270566582679749, 0.7760511636734009], 'ndcg,@100': [0.6417450259855125, 0.6416080328030336], 'male': 0.5696, 'rmsle': 0.792, 'cor': 0.7978}}, train: {'mrr': 0.9885, 'cor': 0.8603, 'loss': 0.2414}
2022-11-29 01:39:37 - INFO - epoch: 17, valid: {11: {'mrr': 0.5514920353889465, 'hits@1,3,10': [0.4277879297733307, 0.6261426210403442, 0.7806215882301331], 'ndcg,@100': [0.6443790589456394, 0.6443790589456394], 'male': 0.5667, 'rmsle': 0.7867, 'cor': 0.8014}}, train: {'mrr': 0.9885, 'cor': 0.8646, 'loss': 0.2332}
2022-11-29 01:39:43 - INFO - epoch: 18, valid: {11: {'mrr': 0.5610739588737488, 'hits@1,3,10': [0.4369286894798279, 0.635283350944519, 0.7906764149665833], 'ndcg,@100': [0.6524416216816261, 0.6523046284991473], 'male': 0.5639, 'rmsle': 0.7817, 'cor': 0.805}}, train: {'mrr': 0.989, 'cor': 0.8687, 'loss': 0.2298}
2022-11-29 01:39:49 - INFO - epoch: 19, valid: {11: {'mrr': 0.5624726414680481, 'hits@1,3,10': [0.43784278631210327, 0.6407678127288818, 0.7897623181343079], 'ndcg,@100': [0.6533478356885087, 0.6532108425060298], 'male': 0.5616, 'rmsle': 0.776, 'cor': 0.8078}}, train: {'mrr': 0.9894, 'cor': 0.873, 'loss': 0.2232}
2022-11-29 01:39:56 - INFO - epoch: 20, valid: {11: {'mrr': 0.5653292536735535, 'hits@1,3,10': [0.44424131512641907, 0.6389396786689758, 0.7787933945655823], 'ndcg,@100': [0.6551670475923885, 0.6550300544099096], 'male': 0.5598, 'rmsle': 0.7713, 'cor': 0.8107}}, train: {'mrr': 0.9902, 'cor': 0.8773, 'loss': 0.2195}
2022-11-29 01:40:02 - INFO - epoch: 21, valid: {11: {'mrr': 0.571693480014801, 'hits@1,3,10': [0.44698354601860046, 0.6535648703575134, 0.796160876750946], 'ndcg,@100': [0.6607255765856923, 0.6607255765856923], 'male': 0.5587, 'rmsle': 0.7678, 'cor': 0.8132}}, train: {'mrr': 0.9901, 'cor': 0.8814, 'loss': 0.2166}
2022-11-29 01:40:08 - INFO - epoch: 22, valid: {11: {'mrr': 0.5831732153892517, 'hits@1,3,10': [0.46160876750946045, 0.6654478907585144, 0.7998172044754028], 'ndcg,@100': [0.6694441417502208, 0.6693071485677419], 'male': 0.5567, 'rmsle': 0.7645, 'cor': 0.8158}}, train: {'mrr': 0.9916, 'cor': 0.8854, 'loss': 0.207}
2022-11-29 01:40:14 - INFO - epoch: 23, valid: {11: {'mrr': 0.5783711075782776, 'hits@1,3,10': [0.45703840255737305, 0.6535648703575134, 0.8089579343795776], 'ndcg,@100': [0.6659368888259368, 0.665799895643458], 'male': 0.554, 'rmsle': 0.7607, 'cor': 0.8188}}, train: {'mrr': 0.9912, 'cor': 0.889, 'loss': 0.2026}
