2022-11-22 13:06:47 - INFO - python MBSL.py --dataset aps --k 1000 --log aps_mbsl
2022-11-22 13:06:47 - INFO - Namespace(log='aps_mbsl', gid=1, dataset='aps', data_path='../preprocess/data/aps/', train_start=2000, train_end=2011, valid_start=2011, valid_end=2014, node_year=5, train_num=3000, num_ngh=[100, 20, 1, 15], val_percent=100, k=1000, epochs=700, bs=4096, lr=0.0005, embed_dim=128, hidden_channels=128, num_layers=3, dropout=0, gnn='rgcn', method='cave', fusion_mode='cat', beta=0.5, alpha=0.5, valid_freq=1, only_papers=False, save_dir='../save', linkgnn='sage', device=device(type='cuda', index=1), num_rels=4)
2022-11-22 14:42:56 - INFO - epoch: 11, valid: {2011: {'mrr': 0.283193975687027, 'hits@1,3,10': [0.14445719122886658, 0.325301855802536, 0.5952029824256897], 'ndcg,@100': [0.42446574305173207, 0.4132257744984766], 'male': 0.5778, 'rmsle': 0.7134, 'cor': 0.537}, 2012: {'mrr': 0.25229528546333313, 'hits@1,3,10': [0.11824755370616913, 0.287803053855896, 0.5548170804977417], 'ndcg,@100': [0.39795465508037836, 0.38570679785148765], 'male': 0.5194, 'rmsle': 0.643, 'cor': 0.5312}, 2013: {'mrr': 0.2024354338645935, 'hits@1,3,10': [0.080635204911232, 0.22400538623332977, 0.4861118793487549], 'ndcg,@100': [0.3531210063132317, 0.3365076674643179], 'male': 0.525, 'rmsle': 0.65, 'cor': 0.5447}}, train: {'mrr': 0.9969736337661743, 'cor': 0.5558, 'loss': 0.1669}
2022-11-22 14:50:18 - INFO - epoch: 12, valid: {2011: {'mrr': 0.294244647026062, 'hits@1,3,10': [0.154073104262352, 0.3404359817504883, 0.6035622358322144], 'ndcg,@100': [0.4333896513615991, 0.4216892946007695], 'male': 0.5751, 'rmsle': 0.7114, 'cor': 0.5393}, 2012: {'mrr': 0.2625539302825928, 'hits@1,3,10': [0.12760527431964874, 0.29886218905448914, 0.5633240938186646], 'ndcg,@100': [0.40616030831724625, 0.39343978525059053], 'male': 0.519, 'rmsle': 0.6427, 'cor': 0.534}, 2013: {'mrr': 0.20868581533432007, 'hits@1,3,10': [0.0846753865480423, 0.23393748700618744, 0.4920599162578583], 'ndcg,@100': [0.3579247417354937, 0.3405107379104022], 'male': 0.5245, 'rmsle': 0.6492, 'cor': 0.5451}}, train: {'mrr': 0.9970895051956177, 'cor': 0.5562, 'loss': 0.1631}
2022-11-22 14:57:37 - INFO - epoch: 13, valid: {2011: {'mrr': 0.2995816767215729, 'hits@1,3,10': [0.1578429788351059, 0.3467191159725189, 0.6122493743896484], 'ndcg,@100': [0.4382357553877212, 0.4269867387259535], 'male': 0.5755, 'rmsle': 0.7121, 'cor': 0.5396}, 2012: {'mrr': 0.26674267649650574, 'hits@1,3,10': [0.12925350666046143, 0.30912378430366516, 0.571139931678772], 'ndcg,@100': [0.41015892920461006, 0.398143946792788], 'male': 0.5184, 'rmsle': 0.6421, 'cor': 0.5341}, 2013: {'mrr': 0.2105042040348053, 'hits@1,3,10': [0.08540485799312592, 0.23348857462406158, 0.49834465980529785], 'ndcg,@100': [0.360211284192007, 0.3436821152465227], 'male': 0.5241, 'rmsle': 0.6493, 'cor': 0.5463}}, train: {'mrr': 0.9972658753395081, 'cor': 0.558, 'loss': 0.1577}
2022-11-22 15:05:03 - INFO - epoch: 14, valid: {2011: {'mrr': 0.30898308753967285, 'hits@1,3,10': [0.16418074071407318, 0.3630552291870117, 0.6255804896354675], 'ndcg,@100': [0.4463025015364107, 0.43502750807586216], 'male': 0.5687, 'rmsle': 0.7021, 'cor': 0.5397}, 2012: {'mrr': 0.2747659981250763, 'hits@1,3,10': [0.13483624160289764, 0.31832200288772583, 0.5868779420852661], 'ndcg,@100': [0.4172012872235182, 0.40520838782164], 'male': 0.518, 'rmsle': 0.642, 'cor': 0.5322}, 2013: {'mrr': 0.21582655608654022, 'hits@1,3,10': [0.08877167105674744, 0.2412322610616684, 0.5110263228416443], 'ndcg,@100': [0.36490933057421837, 0.34808240136075136], 'male': 0.523, 'rmsle': 0.6479, 'cor': 0.5472}}, train: {'mrr': 0.9973684549331665, 'cor': 0.5595, 'loss': 0.1533}
2022-11-22 15:12:38 - INFO - epoch: 15, valid: {2011: {'mrr': 0.31600838899612427, 'hits@1,3,10': [0.1721029281616211, 0.36709830164909363, 0.6341583132743835], 'ndcg,@100': [0.4521305452811128, 0.4410989991294724], 'male': 0.5699, 'rmsle': 0.705, 'cor': 0.5412}, 2012: {'mrr': 0.2801513671875, 'hits@1,3,10': [0.13776053488254547, 0.3269885182380676, 0.5963419675827026], 'ndcg,@100': [0.4219185211904267, 0.4100607367796322], 'male': 0.5184, 'rmsle': 0.6424, 'cor': 0.5333}, 2013: {'mrr': 0.22452270984649658, 'hits@1,3,10': [0.09645923227071762, 0.2519499361515045, 0.521687924861908], 'ndcg,@100': [0.372234500651425, 0.35573680338660707], 'male': 0.5228, 'rmsle': 0.6473, 'cor': 0.5477}}, train: {'mrr': 0.9975485801696777, 'cor': 0.56, 'loss': 0.1485}
2022-11-22 15:20:24 - INFO - epoch: 16, valid: {2011: {'mrr': 0.3210529386997223, 'hits@1,3,10': [0.1766377091407776, 0.37518438696861267, 0.639239490032196], 'ndcg,@100': [0.4563686648807788, 0.4453742429432029], 'male': 0.5665, 'rmsle': 0.6996, 'cor': 0.5433}, 2012: {'mrr': 0.2863720953464508, 'hits@1,3,10': [0.1443534642457962, 0.3316141963005066, 0.5992131233215332], 'ndcg,@100': [0.4271682057314289, 0.4151790103570372], 'male': 0.5179, 'rmsle': 0.6421, 'cor': 0.5324}, 2013: {'mrr': 0.2297869771718979, 'hits@1,3,10': [0.09971381723880768, 0.25986194610595703, 0.5295999050140381], 'ndcg,@100': [0.3769883276183559, 0.36084679099935296], 'male': 0.5236, 'rmsle': 0.6484, 'cor': 0.5465}}, train: {'mrr': 0.9976993203163147, 'cor': 0.5619, 'loss': 0.1428}
2022-11-22 15:28:06 - INFO - epoch: 17, valid: {2011: {'mrr': 0.33327606320381165, 'hits@1,3,10': [0.18647216260433197, 0.3896082639694214, 0.6529530882835388], 'ndcg,@100': [0.4666810109876975, 0.4561877976502305], 'male': 0.5652, 'rmsle': 0.6987, 'cor': 0.5434}, 2012: {'mrr': 0.2975367307662964, 'hits@1,3,10': [0.15567843616008759, 0.3454381227493286, 0.6131964921951294], 'ndcg,@100': [0.4364939884924422, 0.42493675303254147], 'male': 0.5171, 'rmsle': 0.641, 'cor': 0.5338}, 2013: {'mrr': 0.23600158095359802, 'hits@1,3,10': [0.10285618156194687, 0.2688962519168854, 0.5416082143783569], 'ndcg,@100': [0.3827749534754718, 0.36707133066718894], 'male': 0.5218, 'rmsle': 0.6466, 'cor': 0.5488}}, train: {'mrr': 0.9978055953979492, 'cor': 0.5637, 'loss': 0.1394}
2022-11-22 15:35:44 - INFO - epoch: 18, valid: {2011: {'mrr': 0.3397960662841797, 'hits@1,3,10': [0.19488608837127686, 0.3996066153049469, 0.656886875629425], 'ndcg,@100': [0.4716427409118851, 0.4607002385551676], 'male': 0.5661, 'rmsle': 0.6986, 'cor': 0.5425}, 2012: {'mrr': 0.3056900203227997, 'hits@1,3,10': [0.16179285943508148, 0.35772010684013367, 0.6207464933395386], 'ndcg,@100': [0.44295421936696106, 0.4309596421470387], 'male': 0.5174, 'rmsle': 0.6414, 'cor': 0.5344}, 2013: {'mrr': 0.2423432320356369, 'hits@1,3,10': [0.10796251893043518, 0.27938947081565857, 0.5484540462493896], 'ndcg,@100': [0.3876656651896262, 0.3712917320217617], 'male': 0.5219, 'rmsle': 0.646, 'cor': 0.5477}}, train: {'mrr': 0.9978970885276794, 'cor': 0.5643, 'loss': 0.1363}
2022-11-22 15:45:51 - INFO - epoch: 19, valid: {2011: {'mrr': 0.33094802498817444, 'hits@1,3,10': [0.18264766037464142, 0.39086487889289856, 0.6533355116844177], 'ndcg,@100': [0.46481023489948575, 0.4539469034112036], 'male': 0.5673, 'rmsle': 0.7007, 'cor': 0.5427}, 2012: {'mrr': 0.2934931218624115, 'hits@1,3,10': [0.14860697090625763, 0.3453317880630493, 0.6129306554794312], 'ndcg,@100': [0.4332675475907389, 0.4212176342451073], 'male': 0.5162, 'rmsle': 0.6405, 'cor': 0.5359}, 2013: {'mrr': 0.2341116964817047, 'hits@1,3,10': [0.1015094518661499, 0.26743727922439575, 0.5413837432861328], 'ndcg,@100': [0.38095310278317973, 0.36464833955226794], 'male': 0.5215, 'rmsle': 0.6461, 'cor': 0.5475}}, train: {'mrr': 0.998048722743988, 'cor': 0.566, 'loss': 0.1327}
2022-11-22 15:56:07 - INFO - epoch: 20, valid: {2011: {'mrr': 0.3485461175441742, 'hits@1,3,10': [0.2018248438835144, 0.4098781645298004, 0.6649729609489441], 'ndcg,@100': [0.4788723162631592, 0.46800249280368855], 'male': 0.5649, 'rmsle': 0.6968, 'cor': 0.5441}, 2012: {'mrr': 0.3120238184928894, 'hits@1,3,10': [0.16774776577949524, 0.36771586537361145, 0.6301573514938354], 'ndcg,@100': [0.4481323256137184, 0.4360010401507712], 'male': 0.5169, 'rmsle': 0.6415, 'cor': 0.5352}, 2013: {'mrr': 0.2502480447292328, 'hits@1,3,10': [0.11503282934427261, 0.28937768936157227, 0.5567027926445007], 'ndcg,@100': [0.394025383831692, 0.3774965917257826], 'male': 0.5206, 'rmsle': 0.6443, 'cor': 0.5489}}, train: {'mrr': 0.9981309175491333, 'cor': 0.568, 'loss': 0.1288}
